acid,base
[H+],[OH-]
[H][Ba+],[BaH2]
[H][BaH],[BaH3-]
[OH3+],O
[H]O,O
O,O
[H][NH3+],N
[NH4+],N
O=S(=O)(O)O,O=S(=O)([O-])O
[H]OS(=O)(=O)O,O=S(=O)([O-])O
[H]OS(=O)(=O)[O-],O=S(=O)([O-])[O-]
[H]OP(=O)(O)O,O=P([O-])(O)O
[H]OP(=O)([O-])O,O=P([O-])([O-])O
[H]OP(=O)([O-])[O-],O=P([O-])([O-])[O-]
[H]F,[F-]
[H]Cl,[Cl-]
[H]Cl,Cl[Al](Cl)(Cl)Cl
[H]Br,[Br-]
[H]I,[I-]
OS(=O)(=O)[O-],O=S(=O)([O-])[O-]
OP(=O)(O)O,O=P([O-])(O)O
OP(=O)([O-])O,O=P([O-])([O-])O
OP(=O)([O-])[O-],O=P([O-])([O-])[O-]
F,[F-]
Cl,[Cl-]
Cl,Cl[Al](Cl)(Cl)Cl
Br,[Br-]
I,[I-]
CCO,CC[O-]
[H][OH2+],O
[Mg+]Br,XX
FB(F)F,XX
ClB(Cl)Cl,XX
Cl[Al](Cl)Cl,XX
Cl[Fe](Cl)Cl,XX
Br[Fe](Br)Br,XX
Cl[Zn]Cl,XX
[Ag+],XX
[Ag]O[Ag],XX
[Cu+2],XX
[Mg+2],XX
Cl[Ti](Cl)(Cl)Cl,XX
Cl[Sn](Cl)(Cl)Cl,XX
Cl[Si](Cl)(Cl)Cl,XX
[N+]=O,XX
C#N,[C-]#N
C#O,[C-]#O
[PH4+],P
[P+](c1ccccc1)(c1ccccc1)(c1ccccc1)([H]),P(c1ccccc1)(c1ccccc1)(c1ccccc1)
CO,[CH3O-]
[SH-],[S-2]
Cl[Al](Cl)Cl,Cl[Al-](Cl)(Cl)Cl
